"address","type","text","date","compensation","link"
"[""\n        "",""\nOffice Assistant for an immediate opening"",""\n"",""\nLooking for an organized person with dealership experience (preferred), good communication/customer service skills, computer skills for our Sales Dept.  Will also be training  on Dealership Website."",""\n"",""\nHours are Tuesday thru Saturday  8 am to 5 pm."",""\nSalary depends on experience"",""\n"",""\nIn this role you would be responsible for:"",""\n"",""\n- Answering phones"",""\n- Managing schedules"",""\n- Scheduling customer appointments"",""\n- General Office Support"",""\n- May assist with processing DMV & title changes"",""\n- General office support"",""\n"",""\nWe are looking for someone with:"",""\n- 1 to 2 years of  office or  experience in a dealership environment"",""\n- Must have excellent communication skills"",""\n- Must have basic MS Excel skills"",""\n- Pay rate is $13.00-15.00/hr depending on experience. Hours are full time, TUES-SAT only from 8am - 5pm. Full Time Position"",""\n"",""\nWe are looking to start someone ASAP.    ""]","full-time","Administrative Asst/Receptionist","2018-04-25 15:26","SALARY BASED ON EXPERIENCE","https://sandiego.craigslist.org/ssd/ofc/d/administrative-asst/6571615921.html"
"[""\n        "",""\nSeeking a mature, reliable Admin Associate who comes to work each day ready to WORK in a very busy Tax and Accounting office.  You will primarily be working with a Director who handles Trusts and Estates and assisting him with scheduling, billing, correspondence and assembling Trust returns.  Candidate with knowledge and experience with Tax and Accounting programs.    Must be good with computers and be detail oriented.  Excel and Word a must.  QuickBooks helpful.  You will never be bored.  Every day is different and fulfilling.  We are a very easy going group with fun people. We offer benefits of Health, Dental, 401(k), paid holidays and vacation.  Weekly hours are still being determined as we are creating this job for the right person.  Wages negotiated with experience.  Please join our team!!  If you are serious, please email your resume.    ""]","full-time","Admin Assistant Accounting Firm","2018-04-25 15:46","Wages negotiable with experience","https://sandiego.craigslist.org/csd/ofc/d/admin-assistant-accounting/6571633502.html"
"[""\n        "",""\nWe are a multiline insurance agency located in Mission Valley. We help Insurance Brokers with Life Insurance & Annuities."",""\n"",""\nThe Position:"",""\nPart time Executive Assistant Office Manager"",""\nBackground in the insurance industry is preferable but not required"",""\nRelaxed professional dress code"",""\n"",""\nJob description:"",""\n-Must be an excellent communicator"",""\n-Answering phones + making phone calls daily."",""\n-Scheduling and confirming appointments and events"",""\n-Copy, Scan, Email, and Fax"",""\n-Data entry into our CRM systems "",""\n-Organizing and maintaining office space"",""\n-Ordering common office supplies and industry materials"",""\n-Must be ready to provide customer service and create relationships with our staff and agents we support "",""\n"",""\n20 hours total weekly "",""\nWe are open Monday - Friday 8:30-5:00 pm and hours will be flexible"",""\nCompensation will be $12 hour with probationary period and discussed during interview."",""\n"",""\nPlease email your resume and we will reach out to you to schedule an interview. We look forward to meeting you!    ""]","part-time","Executive Assistant Office Manager","2018-04-25 15:53","$12 per hour","https://sandiego.craigslist.org/csd/ofc/d/executive-assistant-office/6571639331.html"
"[""\n        "",""\nOutstanding Biotech company seeks self motivated Operations Assistant to work with the facilities/operations teams. Will with a variety of assignments for the Operations group. This person will need to have great communication, organization and ability to interact with people at all levels. Must have min of 1 year office experience, computer skills, and be adept at organizing.  Must be able to lift 25 lbs and be able to walk between three of the buildings on the campus.    "",""\n"",""\nAdditional duties include:"",""\n "",""\n-Handling distribution of all incoming and outgoing, and inter-office mail between multiple floors and three buildings."",""\n-Mail box/ room set up and maintenance"",""\n-Inventory, order and stock of kitchen supplies"",""\n-Inventory, order and stock office supplies in the workrooms including paper"",""\n-Print out and posting of conference room calendar, along with occasional conference room prep."",""\n-Back up receptionist for two breaks and a 30 min lunch"",""\n "",""\n "",""\n "",""\n"",""\n"",""\n    ""]","full-time","Operations Assistant","2018-04-25 16:31","$17-$20/hr.","https://sandiego.craigslist.org/csd/ofc/d/operations-assistant/6571671086.html"
"[""\n        "",""\nOutstanding manufacturing company seeks candidate to provide service-oriented support of configuration management and data management deliverables. Will work from verbal and written instruction assignments. The ideal candidate will have experience working with engineering part attributes and related documentation."",""\n"",""\nQualifications: "",""\nAssociate's degree or additional experience."",""\nMinimum 1 years' experience in Configuration Management and Document Management related role. "",""\nBasic understanding of engineering or manufacturing technical data packages."",""\nKnowledge of product data management tools (Dynamics, Syteline, Cost Point, Omnify, ARAS, SAP, Etc.)"",""\nFamiliarity with configuration management principles."",""\nDetailed oriented individual."",""\nAbility to work independently under supervision of others."",""\nApplied general computer skills (Outlook, MS Office, SharePoint); Intermediate proficiency using Word and Excel preferred. "",""\n "",""\nEssential Duties and Responsibilities:"",""\n-Support request for inventory item set up for and document naming in support of configuration identification requirements"",""\n-Generate configuration status accounting (CSA) data from MRP reports and manipulation of excel spreadsheet to provide useable results"",""\n-Evaluate CSA data (as-built) against as-planned baseline to identify deltas"",""\n-Using MRP, research and note change artifacts authorizing CSA configuration variances"",""\n-Create and sustain technical data package in preparation of upcoming audits"",""\n-Provide word processing support to deliver configuration  management plans, processes and procedures"",""\n-Designs, develops and establishes data management documentation based on program requirements"",""\n-Assists in coordinating the development, implementation and maintenance of configuration management systems"",""\n-Participates in design reviews, audits, schedules, budgets, etc."",""\n-Utilizes product data management tools"",""\n-Assists in the preparation of contract data item submittals to established delivery schedules"",""\n-Provides support to Product Data Manager and Engineering technical staff "",""\n-Responsible for regular reporting of progress and status"",""\n-Responsible for regular reporting of progress and status"",""\n-Attend appropriate engineering, customer or business meetings"",""\n"",""\n    ""]","contract","Configuration Support/Data Management Analyst I","2018-04-25 17:06","$21.60/hr.","https://sandiego.craigslist.org/csd/ofc/d/configuration-support-data/6571698786.html"
"[""\n        "",""\nContractors State License Schools is hiring! For 30 years now, we have helped contractors get licensed with the State of California, create their own businesses, and SUCCEED. Our adult students will thank YOU for helping them accomplish their goals and reaching their dream of ultimately owning their own business. "",""\n"",""\n We are seeking a Part-time (25 hours per week - Monday & Wednesday - 11:30am - 6:00pm with a half hour lunch, Tuesday & Thursday - 12:00pm - 6:30pm with a half hour lunch) Student Administrator to service our school in San Marcos! We fully train our staff, but we can't train personality. We are hiring personality, and if you have it, we want to hear from you. "",""\n"",""\n The ideal candidate will have customer service and administration skills as well as 2 years minimum applicable experience in both. Additional requirements include knowledge in MS Word, Excel, Outlook; and attention to detail. You must have potential to cross-sell add-on services to enrolled students."",""\n"",""\n The main responsibilities include making student calls, entering data, and assisting our students with additional services as needed. Team players wanted NOW! Spanish speaking skills are required. "",""\n"",""\n Compensation: $15 per hour; plus bonus and contest / spiff"",""\n"",""\n Please send resume to jobs@cslscorp.com "",""\n Subject Line: SA San Marcos (P/T)"",""\n"",""\n Join our team to join in on our success! To learn more about Contractors State License Schools, visit our website at www.contractorexamschools.com"",""\n"",""\n Contractors State License Schools is an Equal Opportunity Employer."",""\n This organization participates in E-Verify.    ""]","part-time","P/T Office Administrator/Bilingual in Spanish Required (San Marcos)","2018-04-25 17:10","$15 per hour; plus bonus and contest / spiff","https://sandiego.craigslist.org/csd/ofc/d/t-office-administrator/6571702174.html"
"[""\n        "",""\nSmall family owned and operated company is looking for a full time office assistant:"",""\n"",""\nCandidate should be:"",""\nReliable"",""\nTrustworthy"",""\nHappy and outgoing"",""\nDedicated to a long-term position"",""\n"",""\nCandidate should have:"",""\nAbility to multi task"",""\nAbility to handle multiple phone lines"",""\nReliable transportation    ""]","full-time","Entry level full time office assistant","2018-04-20 16:51","Minimum Wage","https://sandiego.craigslist.org/csd/ofc/d/entry-level-full-time-office/6567000149.html"
"[""\n        "",""\nPremier global leadership and management skill building organization seeks part-time (25-30 hours per week) Executive "",""\nAssistant to assist President and Senior Executives. Company has spent the last 35 years shaping how the top companies lead and internally build environments of continuous improvement, innovation, and work passion. The Executive Assistant is responsible for a wide-range of administrative functions requiring the highest levels of accountability and confidentiality to effectively represent Senior Executives. This position acts as a liaison both internally and externally by proactively providing support to help manage the effectiveness of Senior Executives. *This is a part-time position."",""\n"",""\nEfficiency and Organization:"",""\nProvides high level organization of the office, reporting, and filing systems "",""\nReads, routes, and responds to routine and recurring items "",""\nOpens, and flags mail for Senior Executives' immediate attention; Initiates and composes correspondences "",""\nManages complex changing calendars and detailed travel planning "",""\nPrepares monthly, quarterly, and year-end documents/reports with timeliness and accuracy "",""\nTracks and submits expense reports, check requests and other data as requested "",""\nComposes briefings, executive summaries, and reports "",""\nEnsures efficient creation and distribution of reports, communications, and other critical documents "",""\nIdentifies processes, system improvements, and communication protocols, to maximize the efficiency and organization of the executives "",""\n"",""\nMeetings and Data Management: "",""\nCoordinates primary logistics of All Sales Meetings and Sales Reward & Recognition Trip (excluding site selection) "",""\nPrepares and distributes meeting agendas, takes meeting notes, arranges catering and technology needs. "",""\nCreates and prepares presentations, including retrieving supporting data, for presentations at All Company Meetings, Board Meetings and others as directed "",""\nActs as lead exec admin in preparing for monthly leadership team meetings. (communicates agenda, captures meeting notes and decisions, and confirms logistic and technology needs) "",""\nSets up dashboards and spreadsheets to chart and track milestones, goals, and deadlines for Executives "",""\nManages designated special projects for Leadership Team "",""\nMaintains business dashboards, performing updates, research and analysis as needed. "",""\nHelps draft presentation outlines, PowerPoint slides, and other communications "",""\n"",""\nOutreach and Liaison: "",""\nRepresents Senior Executives when they are out of the office or unavailable "",""\nGreets visitors and responds to calls, providing information and making appointments, or referring to others "",""\nEstablishes and nurtures relationships with the direct reports and the cross-functional leaders. "",""\nMakes decisions and problem solves as needed for the Senior Executives to minimize delays. "",""\nServes on cross-functional committees representing Senior Executives' point of view. "",""\nManage calendars and coordinate appointments for staff, sales, leadership, and client meetings. "",""\n"",""\nRequirements:"",""\n-A highly dependable self-starter who thrives in a fast-paced results oriented environment "",""\n-Ability to deal with sensitive issues and maintain strict confidentiality "",""\n-Detail and deadline oriented "",""\n-Professional, flexible and independent "",""\n-Strong customer service orientation with ability to use good judgment and make decisions "",""\n-A demonstrated affinity for Company's values: Trustworthiness, Focus & Clarity  "",""\n-Effective problem solving and analytical skills "",""\n-Strong reformatting, editing, and writing skills "",""\n-Exceptional interpersonal skills "",""\n-Five years of Executive Assistant experience supporting Senior level executives "",""\n-Previous experience supporting a Vice President of Sales desired "",""\n-Experience with the Microsoft Office environment, web-based software (webinar production), SharePoint, and CRM systems "",""\n-Associate's or Bachelor's Degree "",""\n"",""\n    ""]","contract","Executive Assistant","2018-04-20 17:00","$38-44K","https://sandiego.craigslist.org/nsd/ofc/d/executive-assistant/6567006697.html"
"[""\n        "",""\nOur national headquarters in San Marcos is currently recruiting a full-time Operations Assistant.  "",""\n"",""\nParamount Transportation Systems, Inc. located in San Marcos, California, is one of the world's leading move management companies.  We specialize in the international relocation of household goods, personal effects, and vehicles for organizations and corporate employees, around the corner or around the world.  Founded in 1996, privately owned and growing, we have relocated tens of thousands of families worldwide and many national and internationally prominent organizations and corporations have made us their partner of choice for managing this critical function. We manage and effect the global relocation of corporate clients worldwide."",""\n "",""\nDuties include: "",""\n•\tFiling"",""\n•\tScanning"",""\n•\tMail delivery "",""\n•\tOther miscellaneous tasks to support the operations department. "",""\n"",""\nNo experience is necessary but applicants must be able to demonstrate the following:"",""\n•\tBasic computer skills  "",""\n•\tExcellent organizational skills "",""\n•\tMust be able to prioritize workflow and pay close attention to detail"",""\n•\tMust pass a background check"",""\n"",""\nThis is a full time position with competitive benefits at $12.50 an hour. "",""\n"",""\nBenefits include: "",""\n•\tEmployee medical insurance is company paid "",""\n•\t401(k), paid vacation, sick/ personal time, and holidays "",""\n•\tCasual Dress"",""\n"",""\nIf you are interested in joining the Paramount team, please send your resume and salary requirements. "",""\n"",""\nParamount Transportation Systems is an Equal Opportunity Employer and Values a Diverse Workforce"",""\n    ""]","full-time","Operations Assistant","2018-04-20 17:00","12.50 per hour plus benefits","https://sandiego.craigslist.org/nsd/ofc/d/operations-assistant/6567006823.html"
"[""\n        "",""\nToday is April 23rd "",""\nand Our office is in need of a good Receptionist !!  "",""\nWe work with Real Estate Agents."",""\n"",""\nThis person will need to \""Live Close\"" to  Rancho Bernardo,  Poway,  Mira Mesa,  Scripps,  PQ  or  Escondido."",""\n"",""\nWe are in search of an outgoing, energetic, fun, and positive person to fill this role. You are the face of the office and we look for lots of smiles and people skills !!"",""\n"",""\nWe like to work hard and laugh often!  If you live in the area please consider our position as there is always room for growth and more responsibility."",""\n"",""\nDuties: Will include, but not limited to: answering phones, assiting walk-in clients, conference room scheduling, typing, scanning, banking, sorting incoming mail, and other miscellaneous clerical duties. "",""\n"",""\nMonday through Friday, FULL TIME - Starting at $13.50 - Firm.  Includes full benefits."",""\n"",""\nSkills: Basic computer skills required, must be a reliable team player, computer literate and willing to learn.  "",""\n-"",""\n   Please send resume to be considered for an interview."",""\n   Resumes without addresses showing you live close to the areas above will not be considered !!"",""\n - ** _ (So make sure you address is on your resume)    ""]","full-time","!! - Receptionist Needed - !!","2018-04-20 17:20","Starting at $13.50/hour. Firm","https://sandiego.craigslist.org/nsd/ofc/d/receptionist-needed/6567021078.html"
