compensation,date,type,link,address,text
up to $60k/DOE,2018-04-17 12:15,full-time,https://sandiego.craigslist.org/csd/web/d/web-development-specialist/6563858692.html,"
        ,
Our client, a top healthcare company in North County is looking to hire a Full-time Marketing Web Development Specialist. ,
,
The Web Development Specialist provides technical design and support, across all marketing channels. You will be responsible for web and digital initiatives to enhance lead generation and promoting corporate branding across all channels.  ,
,
Your responsibilities will include:,
-Provide digital designs for mobile app designs, web banners, landing pages, and/or e-mails,
-Design for websites for HTML and CSS  ,
-Design and code HTML e-mails templates and forms for different service lines, adhering to brand standards,
-Design and deploy campaigns within Pardot system (including e-mail campaigns, newsletters, lead gen campaigns),
-Implement strategies to track & report results for website, SEO, PPC, social media performance and activity using web analytics tool,
,
The ideal candidate has:,
-3-5 years web design experience and working within marketing environment,
-Experience working with Pardot or other e-mail management systems,
-Experience working with Salesforce.com or other CRM systems,
-Comfortable working with Google Analytics and conversion optimization tools,
-Proficient in HTML, CSS and JavaScript and Adobe Creative Suite,
,
This is a highly sought-after company with great benefits, perks and opportunity for growth. Interested? Apply today!    ",Web Development Specialist  w/Design Skills- Fulltime
Based on experience,2018-04-19 08:24,full-time,https://sandiego.craigslist.org/csd/web/d/web-developer-full-time/6565494220.html,"
        ,
Immediate opening available. - NOT FOR TELECOMMUTERS,
,
We have a full time in house web development position on our development team.,
,
You will be working on responsive wordpress site templates and custom builds with the possibility of custom projects requiring PHP and an understanding of SQL queries. ,
,
Strong work ethic, ability to learn quickly, love of technology and the creative process along with good communication skills are the most important attributes we seek. Being able to start immediately is a plus.,
,
Requirements,
PHP, SQL, CSS, @media queries, photoshop, wordpress,
,
Pluses but not required,
jQuery, API's, CLI,
,
* only resumes with examples will be acceptable. Only local residents.    ",Web Developer - Full time position
Depends on experience,2018-04-19 11:00,part-time,https://sandiego.craigslist.org/csd/web/d/graphic-designer-web-designer/6565681710.html,"
        ,
We are looking for a talented part time web designer with the possibility of going full time. ,
,
Are you a creative type that can take direction and produce stunning websites, landing pages, eblasts and graphical ads? Are you looking to pick up hours outside of your freelance, school, or other obligations. This is the position for you. You would be working directly with multiple departments in helping us with ads and website design mock ups. ,
,
If you have an eye for design, please send us a resume along with works that you have completed. ,
,
This is an in house position. ,
,
Requirements:,
Proficient in Photoshop/Illustrator ,
,
Other:,
Understanding of responsive websites and wordpress is a plus.,
,
* Only local San Diego residents need apply.,
** Must submit resume with design examples.    ",Graphic Designer / Web Designer - Part time
"An experience, web/graphic designers/developers - $20 an hr. An inexperienced just starting out individual will start at $15 an hr.",2018-04-19 13:51,part-time,https://sandiego.craigslist.org/csd/web/d/web-and-graphic-designer-and/6565870761.html,"
        ,
The Missiongathering Movement (MGM) is looking for a innovative, creative web and graphic designer and social media director/manager. ,
,
Missiongathering Movement is (a progressive church planting and revitalization organization),
,
We are start-up organization/ministry, that's planting progressive Christian churches throughout the united states. We have two establish churches in San Diego Ca and Charlotte NC and are in the process of starting two more churches, in Issaquah/Seattle Wa and the other in Denver Co.  ,
,
Job Description:,
The MGM web/graphic designer/developer is responsible for the design, layout, and coding of the MGM and church websites. They are involved with the technical and graphical aspects of a website and publications - how the site works and how it looks. She/he will also be involved in the maintenance and update of existing websites and social networks i.e. Facebook, Twitter, and Instagram.,
,
After the ministry leadership team establishing the target/church audience for the website and identifying the type of content it will host, a web designer/developer will:,
·   	write the programming code, either from scratch or by adapting existing website software and graphics packages to meet the organization's requirements,
·   	test the website and identify any technical problems,
upload the site onto a server and register it with different search engines,
,
Hours and Environment:,
The web/graphic designer/developer will work as part of our small but fun, very chilled ministry team.,
The web/graphic designer/developer will work part-time. Yet, we are looking forward to becoming a full-time position.,
Additional hours may be required to meet deadlines, which could include evenings and weekends.,
It is possible to be self-employed and work from home. Part-time and flexible hours. Since we do not have a San Diego office at the present time.,
It is usual to work in an open-plan office environment. A limited amount of traveling may be required.,
,
Salary/Hourly Rate:,
An experience, web/graphic designers/developers - $20 an hr.,
An inexperienced just starting out individual will start at $15 an hr.,
,
Skills and Personal Qualities:,
A web/graphic designer/developer should:,
Have skills in software programming and graphics,
Have creativity and imagination (that's a given!),
Be adaptable and able to pick up new techniques,
Have good interpersonal and communication skills,
Be able to work on their own or in a team,
Be able to work to tight deadlines,
Be thorough and precise in their work,
Be able to multi-task,
Be able to use their initiative,
,
Interests:,
It is important to be interested/or possible experience in,
Progressive christian faith communities and theology (we are definitely NOT turn or burn christians!) ,
Social justice issues i.e. Environmental, racial and lgbtq equality,
Needs to be comfortable in a diverse christian community,
Keeping up to date with advances in computer technology and how this affects the ministry and nonprofit environment,
The internet ,
Troubleshooting and problem-solving.,
And of course King of Thrones, Stranger Things, Handmaids and anything on HBO and Netflix! LOL!,
,
If you're interested and making a difference in the lives of people, please reach out asap!,
,
    ",Web and Graphic Designer and Social Media Director/Manager.
Starting at $45 /hr,2018-04-19 16:43,part-time,https://sandiego.craigslist.org/csd/web/d/community-manager-for/6566023060.html,"
        ,
,
Are you are an experienced photographer with a stellar portfolio and a love for helping others succeed? Have you have invested heavily in your personal brand on social media and amassed a following of those interested in your talents and services?,
,
,
We help service providers earn an independent living using our simple online earning tools. Freelance photographers and small photography businesses are perfect examples of service providers benefitting from the GreatAt community.,
,
Link: ,
,
,
On a paid, part-time and remote basis, your job duties will include:,
,
,
, ,
,
,
,
As a result of this position, your personal and business exposure is likely to increase. The ideal candidate will be able to balance the responsibilities of the position while continuing to grow a successful personal business with high customer satisfaction and overall performance. Doing so helps amplify the message that successful, personable and talented Photographers are a perfect fit for GreatAt.,
,
,
Candidates should meet the following requirements:,
,
,
,
,
,
,
,
,
,
We're excited to know you and thanks for considering this position. To learn more, please follow these steps:,
,
Thank you and good luck,,
-The GreatAt Team,
    ",Community Manager for Photography Category on GreatAt
"Based on experience. $70,000-90,000+",2018-04-20 10:44,full-time,https://sandiego.craigslist.org/csd/web/d/drupal-developer/6566621194.html,"
        ,
The Low-Down:,
,
Today, Achieve Internet is experiencing tremendous growth and success. If you are looking to join an enthusiastic, bright team working with leading financial, healthcare, entertainment, and technology companies on true digital transformation development projects, then you've come to the right place!,
,
What you'll have:,
,
A comfortable and fun work environment very conducive to teamwork and personal growth.,
,
The opportunity to deliver on dynamic and engaging projects for the world's top brands. Leveraging our Drupal skills, we're going deep into the digital ecosystem to transform ourselves and our clients.,
,
Of course, we're agile, yet we don't stop there, we're diving into the practice or MVSE. The idea of small experimental development sprints allowing our developers to fail fast and often.,
,
The usual perks-,
,
Medical, vision, and dental benefits.,
,
Vacation and sick time.,
,
401K retirement plan.,
,
Tuition reimbursement.,
,
The extra perks-,
,
Endless supply of a variety of tasty snacks.,
,
Daily group coffee excursions,
,
Company outings to San Diego sporting events, local craft breweries, parks, and more!,
,
Weekly Lunch and Learns where you'll enjoy information-rich presentations and catered lunch.,
,
Use of new, fully-loaded beach cruiser bikes for zipping around the streets of downtown San Diego during lunchtime.,
,
Other in-office stress relieving toys for when you need a refresher (video games, putting greens, Nerf guns, etc.),
,
What you'll be doing:,
,
Developing advanced web and mobile platforms primarily in the open source space.,
,
Installing and configuring Drupal-powered websites.,
,
Dive into the Google Cloud Product (GCP) Ecosystem.,
,
Code review.,
,
Patching existing modules for additional functionality and applying security updates to existing sites.,
,
Collaborating with our Project Management team to build requirements documents, estimates, and specifications for client projects.,
,
Conducting client contact throughout the development process.,
,
Your skills:,
,
5+ years of experience with PHP.,
,
Experience with MySQL (preferably MySQL 5).,
,
Working knowledge and experience with Drupal.,
,
Experience creating client documentation.,
,
Knowledge of AJAX, JavaScript, XML a plus.,
,
Client relations.,
,
To explore all that Achieve Internet has to offer and chat about the greatness you can bring to Achieve Internet, please submit resume, cover letter, and salary requirements.    ",Drupal Developer
DOE,2018-03-26 10:24,full-time,https://sandiego.craigslist.org/csd/web/d/it-tech-entry-level/6543471334.html,"
        ,
Labocaregen is a just start up company,  We are currently looking for a IT Tech with  entry level who will do Web design,  E-commerce and Web  maintenance.,
It is a full time job, but most time can work at home. College student is OK. ,
Required to have web design with WP.  E-commerce and Web maintenance experience.,
Need working permit, It is best to know and understand Chinese, but not necessary.,
Please send your CV to hire@batj.net, no phone call about this job.    ",IT Tech (Entry Level)
Varies with experience and qualifications,2018-03-26 13:17,full-time,https://sandiego.craigslist.org/csd/web/d/full-time-web-developer/6543685221.html,"
        ,
Taylor & Pond is an established Interactive/Digital Media Agency looking for a multi-faceted web developer who is well-versed in WordPress and front-end CSS and JS and that works well in a fast-paced team environment. This is an in-house position located at our offices in San Diego, California, close to the downtown area. Multi-tasking, client mind-reading and an understanding of urgency is definitely required. Our level of customer service is a key competitive advantage. This position will never be dull, and you may be working on the front end and the back end of a website on any given day.,
 ,
Take a look at these required skills and if it reads like a match then please submit your resume:,
,
-Experience developing custom WordPress themes,
-Highly skilled in HTML5/XHTML, CSS3, and JavaScript/jQuery,
-Good eye for layout/design,
-Ability to resolve cross-browser compatibility issues, ability to build to responsive,
-Ability to develop pixel perfect implementations of Photoshop comps,
-Experience developing for mobile environments,
-Experience integrating with Content Management Systems such as Magento, WordPress, Shopify and/or DotNetNuke,
-Experience with git or other version control,
-Creative Thinker and Problem Solver,
-Excellent verbal and written skills,
,
Absolute MUST HAVES:,
,
-3+ years of solid web development experience using CSS, JavaScript and Photoshop,
-You will need to be highly skilled in HTML5 & CSS3, PHP templates and be able to lead a deployment of high-end websites,
-Ability to take a PSD page layout and convert to HTML, CSS, JavaScript/jQuery,
-U.S. Citizen/Greencard/Valid work Visa for U.S.,
-Good Communication Skills,
-Extremely Detail-Oriented,
 ,
Nice to Haves:,
,
-Experience developing custom WordPress functionality and/or plugins,
-Experience with ACF,
-Experience with Cordova or Native iOS/Android App development,
-Experience with ASP.NET,
-Experience managing Apache and/or IIS servers,
-Experience with DNS,
 ,
Our clients are diverse and there is ample opportunity to take on a variety of interesting projects so let us know about any other skills and interests in the programming realm that you may have.,
,
This position is a full time and in-house. Please send a copy of your resume and portfolio along with your salary requirements in order to be considered.    ",Full-Time Web Developer
$35 - $45 Per Hour To Start DOE,2018-03-26 15:53,part-time,https://sandiego.craigslist.org/nsd/web/d/web-designer-developer-in/6543847285.html,"
        ,
Small internet marketing firm located in Oceanside, CA. We are looking for a dedicated, hardworking Web Designer/Developer to join our team. Ideal candidate must be strong in both design and in development and work out of our Oceanside office.,
,
This position will start at 20-30 hrs per week.,
,
- Solid Photoshop Skills,
- Good eye for design,
- Good Understanding of PHP,
- Good Understanding of JS,
- Solid understanding of HTML5 and CSS3,
- Solid Understanding of the Wordpress Framework and Theme Development,
- Experience with Responsive Design,
,
Bonus Points if You Know The Following:,
,
- Bootstrap Framework,
- Solid Understanding of PHP,
- Solid Understanding of JS,
- Good Understanding of SEO,
- Good Understanding of Adwords & Conversion Tracking,
- Solid Understanding of a LAMP stack server,
,
IMPORTANT: When replying please send in portfolio of design and development work you have completed + your resume.,
,
Other Details:,
* Non-Smokers/Non-Vapors only,
,
Please put the sum of 3 and 4 in the subject line so I know you've read the ad thoroughly. Thank you.    ",Web Designer / Developer (In-House)
DOE,2018-03-27 08:44,contract,https://sandiego.craigslist.org/csd/web/d/production-designer-freelance/6544347581.html,"
        ,
Our client is looking for a Production Designer to join their team on a freelance basis! This will be onsite freelance with the potential to extend and turn in to a full-time role down the line.,
,
You will be working closely with the creative team following the direction of the lead Art Director focusing on production of print marketing materials, some packaging, and web banners.,
,
We're looking for:,
- 3+ years of print + production design experience,
- Proficiency in the Adobe Creative Suite ,
- A strong attention to detail,
- An eye for layout + creative ,
- a portfolio with a range of contemporary design deliverables,
- Light HTML skills (huge plus!),
,
Looking for more freelance or full-time job opportunities? Let us know you're available + looking by applying to our website www.creativecircle.com today!,
    ",Production Designer - Freelance
$25 per hour,2018-03-27 12:06,part-time,https://sandiego.craigslist.org/nsd/web/d/social-media-posting-work-at/6544600841.html,"
        ,
We assist businesses with getting found online for their services.,
,
We need people to help us with posting online.,
,
Compensation: $25 per hour,
,
If you would like to get hired for this position, please go to: , and fill out the form.    ",Social Media Posting - Work at Home
